date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:51	57337/57337	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-dff9%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html	(from )
16:27:51	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2264cb9626-1a%22	https://demo.bootstrapdash.com/robots.txt		(from )
16:27:52	22614/22614	---MCZ	200	added ('OK')	text/css	etag:W/%2264a9aed1-5856%22	https://demo.bootstrapdash.com/celestial/template/vendors/typicons.font/font/typicons.css	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/vendors/typicons.font/font/typicons.css	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:52	2598/2598	---MCZ	200	added ('OK')	text/css	etag:W/%2264a9aed0-a26%22	https://demo.bootstrapdash.com/celestial/template/vendors/css/vendor.bundle.base.css	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/vendors/css/vendor.bundle.base.css	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:52	2061/2061	---M--	200	added ('OK')	image/png	etag:%2264a9a0a2-80d%22	https://demo.bootstrapdash.com/celestial/template/images/favicon.png	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/images/favicon.png	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:52	881415/881415	---MCZ	200	added ('OK')	text/css	etag:W/%2264a9aecf-d7307%22	https://demo.bootstrapdash.com/celestial/template/css/vertical-layout-light/style.css	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/css/vertical-layout-light/style.css	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:53	11728/11728	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a0a2-2dd0%22	https://demo.bootstrapdash.com/celestial/template/images/faces/face4.jpg	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/images/faces/face4.jpg	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:53	13360/13360	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a0a2-3430%22	https://demo.bootstrapdash.com/celestial/template/images/faces/face2.jpg	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/images/faces/face2.jpg	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:53	15550/15550	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a0a2-3cbe%22	https://demo.bootstrapdash.com/celestial/template/images/faces/face3.jpg	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/images/faces/face3.jpg	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:53	3113/3113	---M--	200	added ('OK')	image/png	etag:%2264a9a0a2-c29%22	https://demo.bootstrapdash.com/celestial/template/images/faces/face29.png	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/images/faces/face29.png	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:54	50000/50000	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-c350%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/widgets/widgets.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/widgets/widgets.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:54	54888/54888	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-d668%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/accordions.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/accordions.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:54	56482/56482	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-dca2%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/buttons.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/buttons.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
